"Vane End Points"
"Time (sec)","Linear Displacement1 (mm)","Linear Displacement2 (mm)"
0,39.9208081376944,38.7980809827596
0.04,39.922194263288,38.7994263690389
0.08,39.9263229215197,38.8034337592973
0.12,39.9331495498113,38.8100601255568
0.16,39.9426296046804,38.8192625985739
0.2,39.9547185600511,38.8309984581636
0.24,39.9693719054022,38.8452251234629
0.28,39.9865451437799,38.8619001431899
0.32,40.0061937896994,38.8809811859219
0.36,40.0282733669612,38.9024260304149
0.4,40.0527394064036,38.9261925559904
0.44,40.0795474436144,38.9522387330118
0.48,40.1086530166223,38.9805226134691
0.52,40.1400116635873,39.0110023216966
0.56,40.1735789205093,39.0436360452377
0.6,40.2093103189712,39.0783820258788
0.64,40.2471613839334,39.1151985508653
0.68,40.2870876315947,39.1540439443183
0.72,40.3290445673321,39.1948765588639
0.76,40.372987683734,39.237654767489
0.8,40.4188724587368,39.2823369556358
0.84,40.466654353876,39.3288815135458
0.88,40.5162888126603,39.3772468288619
0.92,40.567731259078,39.4273912794994
0.96,40.6209370962415,39.4792732267908
1,40.6758617051773,39.5328510089131
1.04,40.7324604437655,39.5880829346021
1.08,40.7906886458333,39.6449272771583
1.12,40.8505016204061,39.7033422687487
1.16,40.9118546511177,39.7632860950052
1.2,40.9747029957819,39.8247168899244
1.24,41.0390018861254,39.8875927310671
1.28,41.104706527682,39.951871635059
1.32,41.1717720998476,40.0175115533917
1.36,41.2401537560937,40.0844703685217
1.4,41.3098066243378,40.1527058902673
1.44,41.3806858074668,40.2221758524984
1.48,41.4527463840109,40.2928379101168
1.52,41.5259434089633,40.3646496363238
1.56,41.6002319147409,40.4375685201683
1.6,41.6755669122816,40.5115519643732
1.64,41.751903392272,40.5865572834311
1.68,41.8291963264998,40.6625417019669
1.72,41.9074006693248,40.7394623533576
1.76,41.9864713592609,40.8172762786048
1.8,42.066363320664,40.8959404254508
1.84,42.147031465516,40.9754116477329
1.88,42.2284306953001,41.055646704966
1.92,42.3105159029572,41.1366022621462
1.96,42.3932419749181,41.2182348897687
2,42.4765637932008,41.3005010640483
2.04,42.560436237567,41.3833571673372
2.08,42.6448141877285,41.4667594887294
2.12,42.7296525255958,41.5506642248431
2.16,42.8149061375591,41.6350274807733
2.2,42.9005299167957,41.7198052712042
2.24,42.9864787655936,41.8049535216733
2.28,43.0727075976837,41.8904280699782
2.32,43.1591713405725,41.9761846677176
2.36,43.2458249378661,42.0621789819557
2.4,43.3326233515793,42.1483665970044
2.44,43.41952156442,42.2347030163124
2.48,43.5064745820397,42.3211436644501
2.52,43.5934374352497,42.4076438891929
2.56,43.680365182183,42.4941589636762
2.6,43.767212910406,42.5806440886324
2.64,43.8539357389669,42.6670543946909
2.68,43.9404888203739,42.7533449447366
2.72,44.0268273424986,42.8394707363201
2.76,44.1129065303957,42.9253867041109
2.8,44.1986816480332,43.0110477223881
2.84,44.2841079999273,43.0964086075598
2.88,44.3691409326756,43.1814241207074
2.92,44.4537358363823,43.2660489701458
2.96,44.537848145971,43.3502378139953
3,44.6214333423783,43.4339452627594
3.04,44.704446953624,43.5171258819022
3.08,44.7868445557541,43.5997341944213
3.12,44.868581773649,43.6817246834109
3.16,44.9496142816966,43.7630517946112
3.2,45.0298978043228,43.8436699389387
3.24,45.1093881163776,43.9235334949958
3.28,45.1880410433738,44.0025968115535
3.32,45.2658124615726,44.0808142100068
3.36,45.3426582979165,44.1581399867979
3.4,45.4185345298047,44.2345284158051
3.44,45.4933971847088,44.3099337506968
3.48,45.5672023396288,44.3843102272465
3.52,45.6399061203846,44.4576120656087
3.56,45.7114647007452,44.5297934725544
3.6,45.7818343013909,44.600808643665
3.64,45.8509711887106,44.6706117654848
3.68,45.9188316734323,44.7391570176306
3.72,45.9853721090871,44.8063985748603
3.76,46.0505488903064,44.8722906091
3.8,46.1143184509539,44.9367872914303
3.84,46.1766372620918,44.9998427940342
3.88,46.2374618297832,45.061411292106
3.92,46.2967486927325,45.1214469657256
3.96,46.3544544197644,45.1799040016988
4,46.4105356071451,45.2367365953659
4.04,46.4649488757468,45.2918989523835
4.08,46.5176508680599,45.3453452904796
4.12,46.5685982450546,45.397029841189
4.16,46.6177476828964,45.4469068515698
4.2,46.6650558695196,45.4949305859083
4.24,46.7104795010625,45.5410553274141
4.28,46.7539752781691,45.5852353799124
4.32,46.7954999021633,45.627425069538
4.36,46.8350100711002,45.6675787464375
4.4,46.8724624757012,45.7056507864848
4.44,46.9078137951785,45.7415955930176
4.48,46.9410206929571,45.7753675986012
4.52,46.9720398123003,45.8069212668276
4.56,47.000827771848,45.8362110941575
4.6,47.0273411610745,45.8631916118132
4.64,47.0515365356768,45.8878173877329
4.68,47.0733704129004,45.9100430285934
4.72,47.0927992668147,45.9298231819139
4.76,47.1097795235477,45.9471125382488
4.8,47.1242675564909,45.9618658334832
4.84,47.1362196814874,45.9740378512408
4.88,47.1455921520143,45.9835834254185
4.92,47.1523411543739,45.9904574428596
4.96,47.1564228029076,45.9946148461807
5,47.1577931352468,45.996010636766
