A	E	D	Theta Coords		R Outer	Theta	X Outer	Y Outer		R Inner	Theta	X Inner	Y Inner
0	35.4	108	0		108	0	0	-108		72.6	0	0	-72.6
15	35.3	107.3	15		107.3	0.261799388	27.77128354	-103.6438412		72	0.261799388	18.63497125	-69.54665949
30	35	106.5	30		106.5	0.523598776	53.25	-92.2317055		71.5	0.523598776	35.75	-61.92081637
45	34.9	105.6	45		105.6	0.785398163	74.67047609	-74.67047609		70.7	0.785398163	49.99244943	-49.99244943
60	34.7	104.8	60		104.8	1.047197551	90.75946232	-52.4		70.1	1.047197551	60.70838081	-35.05
75	34.3	103.9	75		103.9	1.308996939	100.3596934	-26.89129879		69.6	1.308996939	67.22843751	-18.01380554
90	34	103	90		103	1.570796327	103	-6.30951E-15		69	1.570796327	69	-4.22676E-15
105	33.6	102.1	105		102.1	1.832595715	98.62102686	26.4254245		68.5	1.832595715	66.1659191	17.72910459
120	33.1	101.1	120		101.1	2.094395102	87.55516832	50.55		68	2.094395102	58.88972746	34
135	32.6	100.2	135		100.2	2.35619449	70.85209947	70.85209947		67.6	2.35619449	47.80041841	47.80041841
150	32	99.1	150		99.1	2.617993878	49.55	85.82311752		67.1	2.617993878	33.55	58.11030459
165	31.4	98.1	165		98.1	2.879793266	25.39014832	94.75732356		66.7	2.879793266	17.26323031	64.42725261
180	30.6	96.9	180		96.9	3.141592654	1.18717E-14	96.9		66.3	3.141592654	8.12273E-15	66.3
195	29.8	95.8	195		95.8	3.403392041	-24.79486452	92.53569416		66	3.403392041	-17.08205698	63.75110454
210	28.8	94.6	210		94.6	3.665191429	-47.3	81.9260032		65.8	3.665191429	-32.9	56.98447157
225	27.7	93.2	225		93.2	3.926990817	-65.90235201	65.90235201		65.5	3.926990817	-46.31549417	46.31549417
240	26.4	91.8	240		91.8	4.188790205	-79.50113207	45.9		65.4	4.188790205	-56.63806141	32.7
255	24.9	90.3	255		90.3	4.450589593	-87.22310211	23.37135977		65.4	4.450589593	-63.17154904	16.92676555
270	23.1	88.7	270		88.7	4.71238898	-88.7	1.63006E-14		65.6	4.71238898	-65.6	1.20555E-14
285	20.9	86.8	285		86.8	4.974188368	-83.84236172	-22.46549311		65.9	4.974188368	-63.65451195	-17.05617507
300	18.1	84.7	300		84.7	5.235987756	-73.3523517	-42.35		66.6	5.235987756	-57.67729189	-33.3
315	14.4	82.1	315		82.1	5.497787144	-58.05346674	-58.05346674		67.7	5.497787144	-47.87112909	-47.87112909
330	8.8	78.6	330		78.6	5.759586532	-39.3	-68.06959674		69.8	5.759586532	-34.9	-60.44857318
338	n/a	67	338		67	5.899212872	-25.09864176	-62.12131826					
